node_id,timestamp,air_temperature_C,relative_humidity_pct,air_pressure_hPa,wind_speed_ms,wind_direction_deg,leaf_wetness_pct,soil_moisture_pct,solar_radiation_Wm2,battery_voltage_V,air_temperature_C_scaled,relative_humidity_pct_scaled,air_pressure_hPa_scaled,wind_speed_ms_scaled,wind_direction_deg_scaled,leaf_wetness_pct_scaled,soil_moisture_pct_scaled,solar_radiation_Wm2_scaled
SB-001,2010-01-01 02:40:00,7.07,78.64,1018.0,0.45,119.1,37.1,37.28,0.0,3.55,-2.194144003602228,0.27317819591862724,1.2270673139777093,-1.5235167822043885,-0.5809706439327794,1.5530606766139567,0.34667746090552093,-0.8043286463738681
SB-001,2010-01-01 12:30:00,15.58,76.63,1011.21,4.43,352.3,0.0,32.8,847.1,3.65,-0.5437987725952393,0.10474178153632964,-0.45060230222007014,1.3388922208473224,1.649939543356105,-1.0774050695288444,-0.3974907509554001,1.973384713302263
SB-001,2010-01-01 13:00:00,16.02,73.61,1016.58,4.29,22.2,0.5,30.21,793.1,3.64,-0.4584695244585678,-0.14833183609279316,0.8762144634621288,1.2382044669711318,-1.5079654859065912,-1.0419540486913403,-0.8277129984374941,1.7963140942224483
SB-001,2010-01-01 14:30:00,18.79,78.29,1016.44,3.06,119.7,2.4,33.65,624.6,3.44,0.0787168785836599,0.2438484720212128,0.8416233373549613,0.35359062934459795,-0.5752307377905267,-0.907240169508825,-0.2562981214728592,1.243788180982656
SB-001,2010-01-01 16:10:00,19.87,61.13,1021.73,2.43,219.2,5.5,36.29,402.6,3.66,0.2881613967373087,-1.194145991063474,2.148673745261624,-0.09950426309826076,0.37663703079971333,-0.6874438403162998,0.18222957480232616,0.5158311914323064
SB-001,2010-01-01 17:20:00,17.55,67.68,1017.64,2.83,84.4,15.2,40.77,146.8,3.87,-0.1617564570742324,-0.6452611581261369,1.1381187039878378,0.18817503369085586,-0.9129285491597274,0.0003059639312787853,0.9263977866632471,-0.32295888931985317
SB-001,2010-01-01 18:20:00,16.7,65.54,1004.75,3.56,326.0,24.0,43.58,0.0,3.42,-0.32659705006553,-0.8245914699560455,-2.046735692593822,0.7131897503309939,1.3983403241206946,0.6242439306713502,1.3931640088349397,-0.8043286463738681
SB-001,2010-01-01 23:40:00,11.69,63.5,1015.62,3.87,337.6,15.5,23.65,0.0,3.47,-1.2981868981671767,-0.9955418606724072,0.6390181701558051,0.9361412053425593,1.509311842870914,0.021576576433781268,-1.917387880090985,-0.8043286463738681
SB-001,2010-01-01 23:50:00,9.65,72.37,1011.44,3.82,185.5,9.1,38.53,0.0,3.52,-1.69380432134629,-0.25224285790077705,-0.3937740236154278,0.9001812932439196,0.054245635809853206,-0.43219649028627066,0.5543136807327866,-0.8043286463738681
SB-001,2010-01-02 01:30:00,12.18,65.85,1011.14,3.38,119.4,18.5,43.48,0.0,3.13,-1.2031611445604287,-0.7986137145040504,-0.46789786527366795,0.5837340667758912,-0.5781006908616529,0.23428270145880561,1.3765531112487583,-0.8043286463738681
SB-001,2010-01-02 05:10:00,11.14,87.64,1010.54,2.26,126.5,15.2,30.36,0.0,3.55,-1.4048484583380159,1.0273710961378684,-0.6161455485901203,-0.22176796423363562,-0.5101784681783293,0.0003059639312787853,-0.8027966520582225,-0.8043286463738681
SB-001,2010-01-02 05:20:00,11.17,86.57,1021.92,3.14,83.2,27.3,26.88,0.0,3.83,-1.3990305550559703,0.9377059402229135,2.195618844978484,0.41112648870242136,-0.9244083614442328,0.858220668198877,-1.3808558880573303,-0.8043286463738681
SB-001,2010-01-02 08:00:00,11.77,87.91,1015.14,2.43,299.2,2.2,40.2,436.8,3.65,-1.2826724894150545,1.0499968831444453,0.5204200235026433,-0.09950426309826076,1.1419578497667404,-0.9214205778438266,0.831715670422014,0.6279759168495224
SB-001,2010-01-02 10:20:00,13.76,82.83,1021.52,1.86,55.8,16.1,38.85,723.0,4.03,-0.8967515717060172,0.6242968905762516,2.0967870561008586,-0.5094472610227521,-1.1865307419404396,0.06411780143878623,0.6074685530085667,1.5664501979725407
SB-001,2010-01-02 11:10:00,16.32,79.24,1014.2,0.01,97.2,18.0,34.77,849.5,3.53,-0.4002904916381098,0.3234577225999095,0.28816531964022474,-1.8399640086724172,-0.790477218125003,0.19883168062130155,-0.07025606850762832,1.9812545185946995
SB-001,2010-01-02 13:00:00,15.24,76.3,1013.98,1.6,297.7,6.5,34.81,749.6,3.57,-0.6097350097917582,0.07708804186162428,0.23380783575752087,-0.6964388039356779,1.1276080844111087,-0.6165417986412918,-0.06361170947315596,1.653673873297042
SB-001,2010-01-02 15:10:00,16.08,70.61,1013.25,3.28,232.5,22.2,38.29,631.6,3.63,-0.4468337178944765,-0.39972946949920685,0.05343982105583958,0.511814242578612,0.5038716169529817,0.49662025565633555,0.5144475265259513,1.2667417797522615
SB-001,2010-01-02 18:30:00,17.6,63.49,1006.36,2.73,30.3,10.7,41.09,0.0,3.6,-0.15205995160415595,-0.9963798527837618,-1.6489377423613532,0.11625520949357664,-1.4304767529861795,-0.31875322360625774,0.9795526589390272,-0.8043286463738681
SB-001,2010-01-02 18:50:00,19.11,55.96,1015.0,4.87,208.6,1.1,34.36,0.0,3.78,0.14077451359214838,-1.6273879126338604,0.48582889739547575,1.655339447315351,0.2752320222865823,-0.9994128236863355,-0.13836074861097208,-0.8043286463738681
SB-001,2010-01-02 20:10:00,14.7,65.8,1007.87,0.32,19.5,16.0,36.81,0.0,3.37,-0.7144572688685826,-0.8028036750608237,-1.2758477393482979,-1.6170125536608515,-1.5337950635467283,0.05702759727128533,0.2686062422504692,-0.8043286463738681
SB-001,2010-01-02 22:00:00,15.55,64.25,1012.49,2.03,73.9,26.5,34.35,0.0,3.76,-0.5496166758772849,-0.9326924523208039,-0.1343405778116573,-0.38718355988737774,-1.0133769066491498,0.8014990348588705,-0.1400218383695899,-0.8043286463738681
SB-001,2010-01-02 22:20:00,13.45,56.86,1009.58,2.03,33.4,4.5,41.78,0.0,3.42,-0.9568699056204905,-1.5519686226119362,-0.8533418418964159,-0.38718355988737774,-1.4008205712512072,-0.7583458819913079,1.0941678522836775,-0.8043286463738681
SB-001,2010-01-03 01:10:00,9.71,63.55,1017.44,4.12,281.7,22.8,39.05,0.0,3.66,-1.6821685147821985,-0.991351900115634,1.0887028095490392,1.1159407658357572,0.9745439206177033,0.5391614806613405,0.6406903481809285,-0.8043286463738681
SB-001,2010-01-03 01:30:00,9.81,66.59,1018.07,3.1,46.4,22.8,37.17,0.0,3.86,-1.662775503842046,-0.7366022982638009,1.244362877031307,0.3823585590235097,-1.2764559381690652,0.5391614806613405,0.32840547356072164,-0.8043286463738681
