epoch,loss,val_loss
0,0.4895208775997162,0.45813316106796265
1,0.3812929689884186,0.48141300678253174
2,0.3318660259246826,0.3583391308784485
3,0.31824856996536255,0.3454180657863617
4,0.288413941860199,0.33248811960220337
5,0.2792260944843292,0.36389392614364624
6,0.28463080525398254,0.3021334707736969
7,0.26618683338165283,0.2809039354324341
8,0.2546050250530243,0.2854610085487366
9,0.2506038546562195,0.2757495045661926
10,0.24415333569049835,0.2692316174507141
11,0.23704390227794647,0.2690698504447937
12,0.22709019482135773,0.2937493324279785
13,0.2017744928598404,0.2553768754005432
14,0.12188609689474106,0.23595882952213287
15,0.10340441763401031,0.15228909254074097
16,0.08036043494939804,0.11048442125320435
17,0.06763698905706406,0.11338525265455246
18,0.06212653964757919,0.10954182595014572
19,0.06065300852060318,0.10385984182357788
20,0.057309359312057495,0.12400154024362564
21,0.0564773790538311,0.1549661010503769
22,0.05372171103954315,0.12804420292377472
23,0.04868878796696663,0.11787688732147217
24,0.04784621670842171,0.10411126911640167
